verde, green
blanco, white
negro, black
amarillo, yellow
azul, blue
rojo, red
gris, gray
el marrón, brown
anaranjado, orange
morado, purple
rosado, pink
el color, color
la plata, silver
el oro, gold
hacer, to do
decir, to say
salir, to go out
poder, to be able to
querer, to want
hablar, to speak
el novio, boyfriend
el cine, movie theater
tener, to have
pedir, to ask for
tomar, to take
aburrido, boring
la comida, food
rico, rich
tranquilo, calm
ir, to go
comer, to eat
volver, to return
joven, young
el campo, countryside
la música, music
saber, to know
empezar, to start
sobre, on
doler, to hurt
la tienda, store
el café, coffee
grande, big
estar, to be
ver, to see
poner, to put
vivir, to live
pagar, to pay
levantarse, to get up
seguro, sure
divertido, fun
la película, film
la ropa, clothing
la cocina, kitchen
el agua, water
el mes, month
el enero, January
el febrero, February
el marzo, March
el abril, April
el mayo, May
el junio, June
el julio, July
el agosto, August
el septiembre, September
el octubre, October
el noviembre, November
el diciembre, December
la estación, season
el verano, summer
el invierno, winter
el otoño, fall
la primavera, spring
la semana, week
el lunes, Monday
el martes, Tuesday
el miércoles, Wednesday
el jueves, Thursday
el viernes, Friday
el sábado, Saturday
el domingo, Sunday
perder, to lose
también, also
acostarse, to go to bed
bailar, to dance
alguien, someone
la mesa, table
mucho, a lot of
la empresa, company
la bolsa, bag
el bosque, forest
alguno, some
la contaminación, pollution
ser, to be
llegar, to arrive
conocer, to know
dormir, to sleep
deber, should
después, after
contar, to tell
simpático, nice
pequeño, small
gastar, to spend
la casa, house
la silla, chair
contento, happy
trabajador, hardworking
el pescado, fish
el actor, actor
el centro comercial, mall
el mercado, market
nunca, never
el horario, schedule
ayer, yesterday
hoy, today
mañana, tomorrow
el fin de semana, weekend
antes, before
anoche, last night
el día, day
el año, year
la chaqueta, jacket
tímido, shy
el médico, doctor
la historia, history
el banco, bank
el medio ambiente, environment
el/la policía, police officer
el escritor, writer
la actriz, actress
el sofá, sofa
buscar, to look for
leer, to read
siempre, always
bueno, good
descansar, to rest
estudiar, to study
ganar, to win
tampoco, neither
alto, tall
la mano, hand
dulce, sweet
el armario, wardrobe
la camiseta, T-shirt
inteligente, intelligent
el teatro, theater
el profesor, teacher
el premio, prize
la naturaleza, nature
el museo, museum
nervioso, nervous
escribir, to write
jugar, to play
el español, spanish
gustar, to like
viajar, to travel
luego, then
beber, to drink
triste, sad
terminar, to end
qué, what
la mujer, woman
el partido, game
la calle, street
ducharse, to take a shower
el cuadro, painting
el trabajo, work
el niño, child
el hermano, brother
el abogado, lawyer
la cabeza, head
el equipo, team
el brazo, arm
la abuela, grandmother
la pierna, leg
el padre, father
el arroz, rice
el pollo, chicken
el precio, price
el ingeniero, engineer
el tenis, tennis
el gimnasio, gym
reciclar, to recycle
el televisor, television
el restaurante, restaurant
el arte, art
la lámpara, lamp
el río, river
llevar, to take
seguir, to follow
conseguir, to get
comprar, to buy
correr, to run
algo, something
ponerse, to put on
vestirse, to get dressed
porque, because
bañarse, to take a bath
bajo, short
cocinar, to cook
tarde, late
el tiempo, time
la hora, hour
la fecha, date
el mediodía, noon
la medianoche, midnight
la mañana, morning
la hora, time
el siglo, century
la gente, people
guapo, handsome
nadie, no one
necesitar, to need
el pan, bread
la puerta, door
la cama, bed
la ciudad, city
caro, expensive
la salud, health
bonito, pretty
rubio, blond
la piscina, swimming pool
la boca, mouth
el coche, car
feo, ugly
ahorrar, to save
ir de compras, to go shopping
el pastel, cake
cómodo, comfortable
difícil, difficult
el papel, paper
el dinero, money
resolver, to solve
el plato, plate
otro, other
la leche, milk
la madre, mother
la escalera, stairs
cuál, which
el director, director
el deporte, sport
el concurso, competition
la librería, bookstore
la bebida, drink
el tomate, tomato
funcionar, to work
el concierto, concert
esperar, to wait for
mirar, to look at
el lugar, place
trabajar, to work
demasiado, too
preferir, to prefer
cantar, to sing
probar, to taste
nadar, to swim
compartir, to share
el país, country
el pie, foot
molestar, to bother
el inglés, english
la cena, dinner
descubrir, to discover
la hermana, sister
el libro, book
la escuela, school
la pareja, couple
la carne, meat
el/la mar, sea
la falda, skirt
la playa, beach
serio, serious
la iglesia, church
proteger, to protect
el/la gerente, manager
el/la cantante, singer
la salida, exit
la entrada, entrance
la señora, ma'am
el parque, park
la nariz, nose
el abuelo, grandfather
interesante, interesting
el amigo, friend
paciente, patient
la lata, can
el ojo, eye
el huevo, egg
la pintura, painting
el bombero, firefighter
los padres, parents
el pintor, painter
el supermercado, supermarket
la política, politics
la energía, energy
encontrar, to find
pensar, to think
quedar, to be left
tocar, to touch
todavía, still
además, besides
bastante, enough
mayor, older
entre, between
cenar, to have dinner
llover, to rain
costar, to cost
moreno, dark-haired
discutir, to discuss
malo, bad
fácil, easy
la mochila, backpack
desayunar, to have breakfast
pintar, to paint
largo, long
el postre, dessert
el barrio, neighborhood
mejorar, to improve
la biblioteca, library
el árbol, tree
peligroso, dangerous
la clase, class
el jardín, garden
abierto, open
la rodilla, knee
el/la periodista, journalist
la sal, salt
el señor, sir
la luz, light
la lechuga, lettuce
recomendar, to recommend
la natación, swimming
el lago, lake
la población, population
el pez, fish
delante de, in front of
el centro, center
antiguo, old
el fútbol, soccer
la enfermedad, illness
el anuncio, advertisement
el refresco, soda
el entrenador, coach
el empleo, employment
el enfermero, nurse
la montaña, mountain
la fruta, fruit
el arquitecto, architect
